Approved Symbol	Phenotypes
SMAD4	Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome, Autosomal dominant;Myhre syndrome, Autosomal dominant;Pancreatic cancer, somatic;Polyposis, juvenile intestinal, Autosomal dominant
DCC	Colorectal cancer, somatic;Esophageal carcinoma, somatic;Mirror movements 1, Autosomal dominant
TCF4	Corneal dystrophy, Fuchs endothelial, 3, Autosomal dominant;Pitt-Hopkins syndrome, Autosomal dominant
FECH	Protoporphyria, erythropoietic, autosomal recessive, Autosomal recessive
ATP8B1	Cholestasis, benign recurrent intrahepatic, Autosomal recessive;Cholestasis, intrahepatic, of pregnancy, 1, Autosomal dominant;Cholestasis, progressive familial intrahepatic 1, Autosomal recessive
NEDD4L	Periventricular nodular heterotopia 7, Autosomal dominant
MALT1	Immunodeficiency 12, Autosomal recessive
RAX	Microphthalmia, isolated 3, Autosomal recessive
LMAN1	Combined factor V and VIII deficiency, Autosomal recessive
CCBE1	Hennekam lymphangiectasia-lymphedema syndrome 1, Autosomal recessive
MC4R	Obesity, autosomal dominant, Autosomal recessive, Autosomal dominant, Multifactorial
PIGN	Multiple congenital anomalies-hypotonia-seizures syndrome 1, Autosomal recessive
TNFRSF11A	Osteolysis, familial expansile, Autosomal dominant;Osteopetrosis, autosomal recessive 7
BCL2	Leukemia/lymphoma, B-cell
KDSR	Lymphoma/leukemia, B-cell, variant (1)
SERPINB7	Palmoplantar keratoderma, Nagashima type, Autosomal recessive
SERPINB8	Peeling skin syndrome 5, Autosomal recessive
RTTN	Microcephaly, short stature, and polymicrogyria with seizures, Autosomal recessive
TSHZ1	Aural atresia, congenital, Autosomal dominant
CTDP1	Congenital cataracts, facial dysmorphism, and neuropathy, Autosomal recessive
TXNL4A	Burn-McKeown syndrome, Autosomal recessive
EXT3	Exostoses, multiple, type 3, Autosomal dominant
FEB2	Febrile seizures, familial, 2, Autosomal dominant
MDRV	Muscular dystrophy with rimmed vacuoles, Autosomal dominant
ELANE	Neutropenia, cyclic, Autosomal dominant;Neutropenia, severe congenital 1, autosomal dominant, Autosomal dominant
CFD	Complement factor D deficiency, Autosomal recessive
KISS1R	Hypogonadotropic hypogonadism 8 with or without anosmia, Autosomal recessive
GPX4	Spondylometaphyseal dysplasia, Sedaghatian type, Autosomal recessive
STK11	Melanoma, malignant, somatic (3);Pancreatic cancer, Autosomal dominant, Somatic mutation, Multifactorial;Peutz-Jeghers syndrome, Autosomal dominant;Testicular tumor, somatic
NDUFS7	Leigh syndrome, Autosomal recessive, Mitochondrial
GAMT	Cerebral creatine deficiency syndrome 2, Autosomal recessive
REEP6	Retinitis pigmentosa 77, Autosomal recessive
TCF3	Agammaglobulinemia 8, autosomal dominant, Autosomal dominant
ADAT3	Mental retardation, autosomal recessive 36, Autosomal recessive
AMH	Persistent Mullerian duct syndrome, type I, Autosomal recessive
TLE6	Preimplantation embryonic lethality, Autosomal recessive
GNA11	Hypocalcemia, autosomal dominant 2, Autosomal dominant;Hypocalciuric hypercalcemia, type II, Autosomal dominant
GIPC3	Deafness, autosomal recessive 15, Autosomal recessive
PIP5K1C	Lethal congenital contractural syndrome 3, Autosomal recessive
RAX2	Cone-rod dystrophy 11, Autosomal dominant
ATCAY	Ataxia, cerebellar, Cayman type, Autosomal recessive
MAP2K2	Cardiofaciocutaneous syndrome 4
SH3GL1	Leukemia, acute myeloid, Autosomal dominant
LONP1	CODAS syndrome, Autosomal recessive
FUT6	Fucosyltransferase 6 deficiency
NDUFA11	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
CLPP	Perrault syndrome 3, Autosomal recessive
TUBB4A	Dystonia 4, torsion, autosomal dominant, Autosomal dominant;Leukodystrophy, hypomyelinating, 6, Autosomal dominant
C3	C3 deficiency, Autosomal recessive
PCOS1	Polycystic ovary syndrome 1, Autosomal dominant
INSR	Diabetes mellitus, insulin-resistant, with acanthosis nigricans;Hyperinsulinemic hypoglycemia, familial, 5, Autosomal dominant;Leprechaunism, Autosomal recessive;Rabson-Mendenhall syndrome, Autosomal recessive
MCOLN1	Mucolipidosis IV, Autosomal recessive
PNPLA6	Boucher-Neuhauser syndrome, Autosomal recessive;Oliver-McFarlane syndrome, Autosomal recessive;Spastic paraplegia 39, autosomal recessive, Autosomal recessive
PET100	Mitochondrial complex IV deficiency, Autosomal recessive, Mitochondrial
STXBP2	Hemophagocytic lymphohistiocytosis, familial, 5
CLEC4M	SARS infection, protection against
CD320	Methylmalonic aciduria, transient, due to transcobalamin receptor defect
RPS28	Diamond Blackfan anemia 15 with mandibulofacial dysostosis, Autosomal dominant
ANGPTL4	Plasma triglyceride level QTL, low, Autosomal dominant
ADAMTS10	Weill-Marchesani syndrome 1, recessive, Autosomal recessive
DNMT1	Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant, Autosomal dominant;Neuropathy, hereditary sensory, type IE, Autosomal dominant
S1PR2	Deafness, autosomal recessive 68, Autosomal recessive
TYK2	Immunodeficiency 35, Autosomal recessive
DNM2	Charcot-Marie-Tooth disease, axonal, type 2M, Autosomal dominant;Charcot-Marie-Tooth disease, dominant intermediate B, Autosomal dominant;Lethal congenital contracture syndrome 5, Autosomal recessive;Myopathy, centronuclear, Autosomal dominant
SMARCA4	Coffin-Siris syndrome 4, Autosomal dominant
LDLR	Hypercholesterolemia, familial, Autosomal dominant;LDL cholesterol level QTL2, Autosomal dominant
KANK2	Palmoplantar keratoderma and woolly hair, Autosomal recessive
DOCK6	Adams-Oliver syndrome 2, Autosomal recessive
CCDC151	Ciliary dyskinesia, primary, 30, Autosomal recessive
PRKCSH	Polycystic liver disease 1, Autosomal dominant
ACP5	Spondyloenchondrodysplasia with immune dysregulation, Autosomal recessive
MAN2B1	Mannosidosis, alpha-, types I and II, Autosomal recessive
RNASEH2A	Aicardi-Goutieres syndrome 4, Autosomal recessive
KLF1	Blood group--Lutheran inhibitor;Dyserythropoietic anemia, congenital, type IV, Autosomal dominant
GCDH	Glutaricaciduria, type I, Autosomal recessive
CALR	Myelofibrosis, somatic;Thrombocythemia, somatic
NFIX	Marshall-Smith syndrome, Autosomal dominant;Sotos syndrome 2, Autosomal dominant
LYL1	Leukemia, T-cell acute lymphoblastoid
CACNA1A	Epileptic encephalopathy, early infantile, 42, Autosomal dominant;Episodic ataxia, type 2, Autosomal dominant;Migraine, familial hemiplegic, 1, Autosomal dominant;Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, Autosomal dominant;Spinocerebellar ataxia 6, Autosomal dominant
CC2D1A	Mental retardation, autosomal recessive 3, Autosomal recessive
PRKACA	Cushing syndrome, ACTH-independent adrenal, somatic
TECR	Mental retardation, autosomal recessive 14, Autosomal recessive
ADGRE2	Vibratory urticaria, Autosomal dominant
CASP14	Ichthyosis, congenital, autosomal recessive 12, Autosomal recessive
NOTCH3	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 1, Autosomal dominant;Lateral meningocele syndrome, Autosomal dominant
CYP4F22	Ichthyosis, congenital, autosomal recessive 5, Autosomal recessive
CPAMD8	Anterior segement dysgenesis 8, Autosomal recessive
GTPBP3	Combined oxidative phosphorylation deficiency 23, Autosomal recessive
INSL3	Cryptorchidism, Autosomal dominant
JAK3	SCID, autosomal recessive, T-negative/B-positive type, Autosomal recessive
SLC5A5	Thyroid dyshormonogenesis 1, Autosomal recessive
IL12RB1	Immunodeficiency 30, Autosomal recessive
PIK3R2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, Autosomal dominant
CRLF1	Cold-induced sweating syndrome 1, Autosomal recessive
CRTC1	Mucoepidermoid salivary gland carcinoma (3)
COMP	Epiphyseal dysplasia, multiple, 1, Autosomal dominant;Pseudoachondroplasia, Autosomal dominant
GDF1	Double-outlet right ventricle;Right atrial isomerism, Autosomal recessive;Tetralogy of Fallot, Autosomal dominant;Transposition of great arteries, dextro-looped 3, Autosomal dominant
RFXANK	MHC class II deficiency, complementation group B, Autosomal recessive
C19orf12	Neurodegeneration with brain iron accumulation 4, Autosomal recessive
ANIB2	Aneurysm, intracranial berry, 2
OFC3	Orofacial cleft-3, ?Autosomal dominant
RGS9BP	Bradyopsia
SLC7A9	Cystinuria, Autosomal recessive, Autosomal dominant
CEBPA	Leukemia, acute myeloid, somatic
PEPD	Prolidase deficiency, Autosomal recessive
GPI	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency, Autosomal recessive
SCN1B	Atrial fibrillation, familial, 13, Autosomal dominant;Brugada syndrome 5;Cardiac conduction defect, nonspecific;Epilepsy, generalized, with febrile seizures plus, type 1, Autosomal dominant;Epileptic encephalopathy, early infantile, 52, Autosomal recessive
HAMP	Hemochromatosis, type 2B, Autosomal recessive
MAG	Spastic paraplegia 75, autosomal recessive, Autosomal recessive
COX6B1	Mitochondrial complex IV deficiency, Autosomal recessive, Mitochondrial
KMT2B	Dystonia 28, childhood-onset, Autosomal dominant
PSENEN	Acne inversa, familial, 2, Autosomal dominant
NPHS1	Nephrotic syndrome, type 1, Autosomal recessive
TYROBP	Nasu-Hakola disease, Autosomal recessive
SDHAF1	Mitochondrial complex II deficiency, Autosomal recessive
SYNE4	Deafness, autosomal recessive 76, Autosomal recessive
WDR62	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations, Autosomal recessive
MRT11	Mental retardation, autosomal recessive, 11, Autosomal recessive
SPINT2	Diarrhea 3, secretory sodium, congenital, syndromic, Autosomal recessive
RYR1	Central core disease, Autosomal recessive, Autosomal dominant;King-Denborough syndrome, Autosomal dominant;Minicore myopathy with external ophthalmoplegia, Autosomal recessive;Neuromuscular disease, congenital, with uniform type 1 fiber, Autosomal recessive, Autosomal dominant
ACTN4	Glomerulosclerosis, focal segmental, 1, Autosomal dominant
SARS2	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis, Autosomal recessive
PLEKHG2	Leukodystrophy and acquired microcephaly with or without dystonia, Autosomal recessive
DLL3	Spondylocostal dysostosis 1, autosomal recessive, Autosomal recessive
DYRK1B	Abdominal obesity-metabolic syndrome 3, Autosomal dominant
AKT2	Diabetes mellitus, type II, Autosomal dominant;Hypoinsulinemic hypoglycemia with hemihypertrophy, Autosomal dominant
PRX	Charcot-Marie-Tooth disease, type 4F, Autosomal recessive;Dejerine-Sottas disease, Autosomal recessive, Autosomal dominant
LTBP4	Cutis laxa, autosomal recessive, type IC, Autosomal recessive
COQ8B	Nephrotic syndrome, type 9, Autosomal recessive
CYP2A6	Coumarin resistance, Autosomal dominant
CYP2B6	Efavirenz, poor metabolism of
TGFB1	Camurati-Engelmann disease, Autosomal dominant
B9D2	Meckel syndrome 10, Autosomal recessive
BCKDHA	Maple syrup urine disease, type Ia, Autosomal recessive
RPS19	Diamond-Blackfan anemia 1, Autosomal dominant
CD79A	Agammaglobulinemia 3, Autosomal recessive
ATP1A3	Alternating hemiplegia of childhood 2, Autosomal dominant;CAPOS syndrome, Autosomal dominant;Dystonia-12, Autosomal dominant
ERF	Chitayat syndrome, Autosomal dominant;Craniosynostosis 4, Autosomal dominant
MEGF8	Carpenter syndrome 2, Autosomal recessive
LIPE	Lipodystrophy, familial partial, type 6, Autosomal recessive
ETHE1	Ethylmalonic encephalopathy, Autosomal recessive
SMG9	Heart and brain malformation syndrome, Autosomal recessive
KCNN4	Dehydrated hereditary stomatocytosis 2, Autosomal dominant
CEACAM16	Deafness, autosomal dominant 4B, Autosomal dominant
BCL3	Leukemia/lymphoma, B-cell, 3
APOE	Alzheimer disease-2, Autosomal dominant;Hyperlipoproteinemia, type III;Lipoprotein glomerulopathy;Sea-blue histiocyte disease, Autosomal recessive
APOC2	Hyperlipoproteinemia, type Ib, Autosomal recessive
BLOC1S3	Hermansky-Pudlak syndrome 8
ERCC2	Cerebrooculofacioskeletal syndrome 2;Trichothiodystrophy 1, photosensitive, Autosomal recessive;Xeroderma pigmentosum, group D, Autosomal recessive
ERCC1	Cerebrooculofacioskeletal syndrome 4, Autosomal recessive
RTN2	Spastic paraplegia 12, autosomal dominant, Autosomal dominant
OPA3	3-methylglutaconic aciduria, type III, Autosomal recessive;Optic atrophy 3 with cataract, Autosomal dominant
SIX5	Branchiootorenal syndrome 2
DMPK	Myotonic dystrophy 1, Autosomal dominant
CCDC8	3-M syndrome 3, Autosomal recessive
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5, Autosomal recessive;Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5, Autosomal recessive;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5, Autosomal recessive
AP2S1	Hypocalciuric hypercalcemia, type III, Autosomal dominant
KPTN	Mental retardation, autosomal recessive 41, Autosomal recessive
CRX	Cone-rod retinal dystrophy-2, Autosomal dominant;Leber congenital amaurosis 7
LIG1	DNA ligase I deficiency (3)
CCDC114	Ciliary dyskinesia, primary, 20, Autosomal recessive
GRIN2D	Epileptic encephalopathy, early infantile, 46, Autosomal dominant
BAX	Colorectal cancer, somatic;T-cell acute lymphoblastic leukemia, somatic
FTL	Hyperferritinemia-cataract syndrome, Autosomal dominant;L-ferritin deficiency, dominant and recessive, Autosomal recessive, Autosomal dominant;Neurodegeneration with brain iron accumulation 3, Autosomal dominant
GYS1	Glycogen storage disease 0, muscle, Autosomal recessive
LHB	Hypogonadotropic hypogonadism 23 with or without anosmia, Autosomal recessive
NTF4	Glaucoma 1, open angle, 1O
TRPM4	Progressive familial heart block, type IB, Autosomal dominant
FUZ	Neural tube defects, Autosomal dominant
MED25	Basel-Vanagait-Smirin-Yosef syndrome, Autosomal recessive
PNKP	Ataxia-oculomotor apraxia 4, Autosomal recessive;Microcephaly, seizures, and developmental delay, Autosomal recessive
NUP62	Striatonigral degeneration, infantile, Autosomal recessive
MYH14	Deafness, autosomal dominant 4A, Autosomal dominant
KCNC3	Spinocerebellar ataxia 13, Autosomal dominant
POLD1	Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome, Autosomal dominant
ACPT	Amelogenesis imperfecta, type IJ, Autosomal recessive
KLK4	Amelogenesis imperfecta, type IIA1, Autosomal recessive
ETFB	Glutaric acidemia IIB, Autosomal recessive
LIM2	Cataract 19, multiple types, Autosomal recessive
PPP2R1A	Mental retardation, autosomal dominant 36, Autosomal dominant
NLRP12	Familial cold autoinflammatory syndrome 2, Autosomal dominant
PRKCG	Spinocerebellar ataxia 14, Autosomal dominant
PRPF31	Retinitis pigmentosa 11, Autosomal dominant
MBOAT7	Mental retardation, autosomal recessive 57, Autosomal recessive
NLRP7	Hydatidiform mole, recurrent, 1, Autosomal recessive
GP6	Bleeding disorder, platelet-type, 11, Autosomal recessive
TNNT1	Nemaline myopathy 5, Amish type, Autosomal recessive
TNNI3	Cardiomyopathy, dilated, 1FF;Cardiomyopathy, familial restrictive, 1, Autosomal dominant;Cardiomyopathy, hypertrophic, 7, Autosomal dominant
DNAAF3	Ciliary dyskinesia, primary, 2, Autosomal recessive
AURKC	Spermatogenic failure 5, Autosomal recessive
ALS7	Amyotrophic lateral sclerosis 7
RBCK1	Polyglucosan body myopathy 1 with or without immunodeficiency, Autosomal recessive
TBC1D20	Warburg micro syndrome 4, Autosomal recessive
CSNK2A1	Okur-Chung neurodevelopmental syndrome, Autosomal dominant
SLC52A3	Brown-Vialetto-Van Laere syndrome 1, Autosomal recessive;Fazio-Londe disease, Autosomal recessive
RSPO4	Anonychia congenita, Autosomal recessive
PDYN	Spinocerebellar ataxia 23, Autosomal dominant
TGM6	Spinocerebellar ataxia 35, Autosomal dominant
SNRPB	Cerebrocostomandibular syndrome, Autosomal dominant
NOP56	Spinocerebellar ataxia 36, Autosomal dominant
IDH3B	Retinitis pigmentosa 46
AVP	Diabetes insipidus, neurohypophyseal, Autosomal dominant
ITPA	Epileptic encephalopathy, early infantile, 35, Autosomal recessive
SLC4A11	Corneal dystrophy, Fuchs endothelial, 4;Corneal endothelial dystrophy and perceptive deafness, Autosomal recessive;Corneal endothelial dystrophy, autosomal recessive, Autosomal recessive
PANK2	HARP syndrome, Autosomal recessive;Neurodegeneration with brain iron accumulation 1, Autosomal recessive
PRNP	Cerebral amyloid angiopathy, PRNP-related, Autosomal dominant;Creutzfeldt-Jakob disease, Autosomal dominant;Gerstmann-Straussler disease, Autosomal dominant;Huntington disease-like 1, Autosomal dominant;Insomnia, fatal familial, Autosomal dominant;Prion disease with protracted course, Autosomal dominant
GLC1K	Glaucoma 1K, primary open angle, juvenile-onset
PROKR2	Hypogonadotropic hypogonadism 3 with or without anosmia, Autosomal dominant
FERMT1	Kindler syndrome, Autosomal recessive
BMP2	Brachydactyly, type A2, Autosomal dominant
PLCB1	Epileptic encephalopathy, early infantile, 12, Autosomal recessive
PLCB4	Auriculocondylar syndrome 2, Autosomal recessive, Autosomal dominant
MKKS	Bardet-Biedl syndrome 6, Autosomal recessive;McKusick-Kaufman syndrome, Autosomal recessive
JAG1	Alagille syndrome 1, Autosomal dominant;Tetralogy of Fallot, Autosomal dominant
NDUFAF5	Mitochondrial complex 1 deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
FLRT3	Hypogonadotropic hypogonadism 21 with anosmia, Autosomal dominant
BFSP1	Cataract 33
DYT17	Dystonia-17, primary torsion, Autosomal recessive
MGME1	Mitochondrial DNA depletion syndrome 11, Autosomal recessive
OVOL2	Corneal dystrophy, posterior polymorphous, 1, Autosomal dominant
SEC23B	Cowden syndrome 7, Autosomal dominant;Dyserythropoietic anemia, congenital, type II, Autosomal recessive
